Field Word,Type,Level,Page
broadcast,v./n.,2,9
broaden,v.,5,9
brochure,n.,6,9
broil,v.,4,9
broke,adj.,4,9
bronze,n./adj.,5,9
brooch,n.,5,9
brood,n./v.,5,9
brook,n.,3,9
broom,n.,3,9
broth,n.,5,9
brother,n.,1,9
brotherhood,n.,5,9
brow(s),n.,3,9
brown,adj./n./v.,1,9
browse,v./n.,5,9
bruise,n./v.,5,9
brunch,n.,2,9
brush,n./v.,2,9
brutal,adj.,4,9
brute,n./adj.,6,9
bubble,n./v.,3,9
bucket/pail,n.,3,9
buckle,n./v.,6,9
bud,n./v.,3,9
budget,n./v.,3,9
buffalo,n.,3,9
buffet,n.,3,9
bug,n./v.,1,9
build,v.,1,9
building,n.,1,9
bulb,n.,3,9
bulge,n./v.,5,9
bulk,n.,5,9
bulky,adj.,6,9
bull,n.,3,9
bullet,n.,3,9
bulletin,n.,4,9
bully,n./v.,5,9
bump,v./n.,3,9
bun/roll,n.,2,9
bunch,n.,3,9
bundle,n.,2,9
burden,n./v.,3,9
bureau,n.,5,9
bureaucracy,n.,6,9
burglar,n.,3,9
burial,n.,6,9
burn,v./n.,2,9
burst,v./n.,2,9
bury,v.,3,9
bus,n./v.,1,9
bush,n.,3,9
business,n.,2,9
busy,adj./v.,1,9
but,conj./prep./adv.,1,9
butcher,n./v.,5,9
butter,n./v.,1,9
butterfly,n.,1,9
button,n./v.,2,9
buy,v./n.,1,9
buzz,v./n.,3,9
by,prep./adv.,1,9
byte,n.,6,9
cabbage,n.,2,9
cabin,n.,3,9
cabinet,n.,4,9
cable,n./v.,2,9
cactus,n.,5,9
café/cafe,n.,2,9
cafeteria,n.,2,9
caffeine,n.,6,9
cage,n./v.,1,10
cake,n.,1,10
calcium,n.,6,10
calculate,v.,4,10
calculation,n.,4,10
calculator,n.,4,10
calendar,n.,2,10
calf (1),n.,5,10
calf (2),n.,5,10
call,v./n.,1,10
calligraphy,n.,5,10
calm,adj./n./v.,2,10
calorie,n.,4,10
camel,n.,1,10
camera,n.,1,10
camp,n./v.,1,10
campaign,n./v.,4,10
campus,n.,3,10
can (1),v.(aux.),1,10
can (2),n./v.,1,10
canal,n.,5,10
cancel,v.,2,10
cancer,n.,2,10
candidate,n.,4,10
candle,n.,2,10
candy/sweet,n.,1,10
cane,n.,3,10
cannon,n./v.,5,10
canoe,n./v.,3,10
canvas,n./v.,6,10
canyon,n.,3,10
cap,n./v.,1,10
capability,n.,6,10
capable,adj.,3,10
capacity,n.,4,10
cape,n.,4,10
capital (1),n./adj.,3,10
capital(ism) (2),n.,4,10
capitalist,n.,4,10
capsule,n.,6,10
captain,n.,2,10
caption,n./v.,6,10
captive,n./adj.,6,10
captivity,n.,6,10
capture,v./n.,3,10
car,n.,1,10
carbohydrate,n.,6,10
carbon,n.,5,10
card,n.,1,10
cardboard,n.,5,10
care,n./v.,1,10
career,n.,4,10
carefree,adj.,5,10
careful,adj.,1,10
caress,v./n.,6,10
caretaker,n.,5,10
cargo,n.,4,10
carnation,n.,5,10
carnival,n.,5,10
carol,n.,6,10
carp,n.,5,10
carpenter,n.,3,10
carpet,n./v.,2,10
carriage,n.,3,10
carrier,n.,4,10
carrot,n.,2,10
carry,v.,1,10
cart,n./v.,2,10
carton,n.,5,10
cartoon,n./v.,2,10
carve,v.,4,10
case (1),n.,1,10
case (2),n./v.,1,10
cash,n./v.,2,10
cashier,n.,6,10
cassette,n.,2,10
cast (1),v./n.,3,10
cast (2),n./v.,3,10
castle,n.,2,10
casual,adj.,3,10
casualty,n.,6,10
cat,n.,1,10
catalogue/catalog,n./v.,4,10
catastrophe,n.,6,10
catch,v./n.,1,10
category,n.,5,10
cater,v.,6,11
caterpillar,n.,3,11
cathedral,n.,5,11
cattle,n.,3,11
cause,n./v.,1,11
caution,n./v.,5,11
cautious,adj.,5,11
cavalry,n.,6,11
cave,n./v.,2,11
cavity,n.,6,11
CD/compact disk,n.,4,11
cease,v./n.,4,11
ceiling,n.,2,11
celebrate,v.,3,11
celebration,n.,4,11
celebrity,n.,5,11
celery,n.,5,11
cell,n.,2,11
cellar,n./v.,5,11
cello,n.,5,11
cell-phone/cellphone/cellular phone/mobile phone,n.,5,11
Celsius/Centigrade/centigrade,n.,5,11
cement,n./v.,4,11
cemetery,n.,6,11
cent,n.,1,11
center,n./v.,1,11
centimeter,n.,3,11
central,adj.,2,11
